design,model,f1,f1_ci_low,f1_ci_high,recall,recall_ci_low,recall_ci_high
A,Structural only (RF),0.9256,0.922,0.9295,0.9124,0.9066,0.9181
A,Naive Bayes (TF-IDF),0.9613,0.9585,0.9643,0.9404,0.9357,0.9457
A,"SVM (TF-IDF, linear)",0.9857,0.9839,0.9876,0.9887,0.9862,0.9908
A,Lexical only (TF-IDF + LR),0.9797,0.9776,0.9818,0.9827,0.9799,0.9854
A,Structural + lexical (LR),0.9803,0.9782,0.9823,0.983,0.9803,0.9855
A,"CNN (word-embedding, from scratch)",0.9766,0.9742,0.9787,0.9701,0.9663,0.9736
A,DistilBERT (text-only),0.9884,0.9868,0.9899,0.9915,0.9895,0.9935
A,DistilBERT embeddings + MLP (no structural),0.989,0.9875,0.9905,0.9907,0.9885,0.9925
A,DistilBERT + Structural (Fusion),0.9892,0.9877,0.9907,0.9905,0.9882,0.9923
B,Structural only (RF),0.9195,0.9136,0.925,0.9067,0.899,0.9144
B,Naive Bayes (TF-IDF),0.8641,0.8564,0.8722,0.7739,0.7623,0.7857
B,"SVM (TF-IDF, linear)",0.9188,0.9122,0.9249,0.8655,0.855,0.8752
B,Lexical only (TF-IDF + LR),0.9439,0.9382,0.9485,0.9176,0.9088,0.9254
B,Structural + lexical (LR),0.951,0.9461,0.9557,0.9292,0.9217,0.9365
B,"CNN (word-embedding, from scratch)",0.9189,0.9124,0.9244,0.8702,0.8599,0.8801
B,DistilBERT (text-only),0.9386,0.9338,0.9437,0.8938,0.8855,0.9022
B,DistilBERT embeddings + MLP (no structural),0.9385,0.9331,0.9439,0.8958,0.8873,0.9048
B,DistilBERT + Structural (Fusion),0.9452,0.9404,0.9499,0.906,0.8983,0.9143
