analysis,model,fold,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
"heads, Split A test pool",DistilBERT embeddings + MLP (no structural),1,0.9857107044372023,0.9808806488991889,0.9860221316249272,0.9834446703456288,0.9854378809280514,0.9989469431615904,0.9987068964211671,0.014524647887323943,2239,33,24,1693
"heads, Split A test pool",DistilBERT + Structural (Fusion),1,0.986964151416395,0.9814921920185078,0.988351776354106,0.9849100406268136,0.98671803884827,0.9991445835760047,0.9989022981185645,0.014084507042253521,2240,32,20,1697
"heads, Split A test pool",DistilBERT embeddings + MLP (no structural),2,0.9909729187562688,0.9850057670126874,0.9941792782305006,0.9895712630359212,0.9908068516771118,0.9990215033360171,0.9988527279114745,0.01145374449339207,2244,26,10,1708
"heads, Split A test pool",DistilBERT + Structural (Fusion),2,0.9912236710130391,0.985014409221902,0.9947613504074505,0.9898638864755285,0.991062829817468,0.9990352217771921,0.9988791776918625,0.01145374449339207,2244,26,9,1709
"heads, Split A test pool",DistilBERT embeddings + MLP (no structural),3,0.9884682877914264,0.9838350055741361,0.9904601571268238,0.9871364653243848,0.9883433348884532,0.9992966975295929,0.9991349823127976,0.013140009062075216,2178,29,17,1765
"heads, Split A test pool",DistilBERT + Structural (Fusion),3,0.9892203559789421,0.9827873403664631,0.9932659932659933,0.9879988836170807,0.9891075191691774,0.9993638240126685,0.9991619423519584,0.014046216583597644,2176,31,12,1770
"heads, Split A test pool",DistilBERT embeddings + MLP (no structural),4,0.9889669007021064,0.9797639123102867,0.9954311821816105,0.9875354107648725,0.9888194372762734,0.9993798805050923,0.999258996340761,0.016092981671881983,2201,36,8,1743
"heads, Split A test pool",DistilBERT + Structural (Fusion),4,0.9899699097291875,0.9841539332201471,0.9931467732724157,0.9886299033541786,0.9898286349431278,0.9994018361562089,0.9992773462767858,0.012516763522574878,2209,28,12,1739
"heads, Split A test pool",DistilBERT embeddings + MLP (no structural),5,0.9889669007021064,0.9847025495750709,0.9903133903133903,0.9875,0.9888128366247756,0.9990591783695232,0.9986278995758655,0.012091356918943126,2206,27,17,1738
"heads, Split A test pool",DistilBERT + Structural (Fusion),5,0.9914744232698094,0.9869835880022637,0.9937321937321937,0.9903463940942646,0.9913564031540025,0.9992707165120958,0.9990580870439105,0.010300044782803403,2210,23,11,1744
"heads, Split B test pool",DistilBERT embeddings + MLP (no structural),1,0.9879732739420936,0.992090395480226,0.977728285077951,0.9848569826135727,0.9874414207489732,0.9994684219489651,0.9992084802340244,0.005196733481811433,1340,7,20,878
"heads, Split B test pool",DistilBERT + Structural (Fusion),1,0.9951002227171493,0.9922308546059934,0.9955456570155902,0.9938854919399667,0.9948988961000464,0.999904927720266,0.9998577117333949,0.005196733481811433,1340,7,4,894
"heads, Split B test pool",DistilBERT embeddings + MLP (no structural),2,0.9910913140311804,0.9922222222222222,0.9856512141280354,0.9889258028792912,0.9907371190253387,0.9995730067741898,0.999404139325882,0.005227781926811053,1332,7,13,893
"heads, Split B test pool",DistilBERT + Structural (Fusion),2,0.9955456570155902,0.9944812362030905,0.9944812362030905,0.9944812362030905,0.9953735531276842,0.9998854207367034,0.9998352524406529,0.0037341299477221808,1334,5,5,901
"heads, Split B test pool",DistilBERT embeddings + MLP (no structural),3,0.9910913140311804,0.9853438556933484,0.9920544835414302,0.9886877828054299,0.9906701221154262,0.9991212332027388,0.998366277081746,0.009530791788856305,1351,13,7,874
"heads, Split B test pool",DistilBERT + Structural (Fusion),3,0.9937639198218263,0.9942987457240593,0.9897843359818388,0.9920364050056882,0.9934559770270022,0.9995198404905117,0.9991836102219764,0.0036656891495601175,1359,5,9,872
"heads, Split B test pool",DistilBERT embeddings + MLP (no structural),4,0.9902004454342984,0.9778516057585825,0.9977401129943503,0.9876957494407159,0.9897768162451543,0.9995538384845464,0.999285645327027,0.014705882352941176,1340,20,2,883
"heads, Split B test pool",DistilBERT + Structural (Fusion),4,0.9959910913140312,0.9932432432432432,0.9966101694915255,0.9949238578680203,0.9958056904356664,0.9998944832170157,0.9998418369932733,0.004411764705882353,1354,6,3,882
"heads, Split B test pool",DistilBERT embeddings + MLP (no structural),5,0.9897550111358575,0.9869706840390879,0.9880434782608696,0.9875067897881586,0.9894121340409272,0.9991099261689911,0.9986426168072193,0.009056603773584906,1313,12,11,909
"heads, Split B test pool",DistilBERT + Structural (Fusion),5,0.9946547884187082,0.9924078091106291,0.9945652173913043,0.993485342019544,0.9944768099825816,0.999850697292863,0.9997919587758117,0.005283018867924529,1318,7,5,915
