split,held_out,model,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,none (in-distribution),Structural only (RF),0.9358640056162872,0.9392258673589804,0.9124154533990599,0.9256265627725766,0.9346253323405793,0.9803072114738944,0.9793655296862949,0.045904269542739996,10704,515,764,7959
A,none (in-distribution),Naive Bayes (TF-IDF),0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,none (in-distribution),"SVM (TF-IDF, linear)",0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,none (in-distribution),Lexical only (TF-IDF + LR),0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,none (in-distribution),Structural + lexical (LR),0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,none (in-distribution),"CNN (word-embedding, from scratch)",0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,none (in-distribution),DistilBERT (text-only),0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
A,none (in-distribution),DistilBERT embeddings + MLP (no structural),0.9903720790291847,0.9873186336113332,0.9907142038289579,0.9890135042343786,0.9902225678972678,0.997195062947833,0.9949088540593191,0.009893929940279883,11108,111,81,8642
A,none (in-distribution),DistilBERT + Structural (Fusion),0.9905726607160766,0.9879931389365352,0.9904849249111545,0.9892374627891001,0.9904252981325943,0.9972975425924828,0.9944250379256785,0.00935912291648097,11114,105,83,8640
B,phishing_pot,Structural only (RF),0.9364810690423162,0.9326460481099657,0.9066815144766147,0.9194805194805195,0.9335173836828856,0.9742982921711697,0.9615154520278749,0.04365256124721604,6441,294,419,4071
B,phishing_pot,Naive Bayes (TF-IDF),0.9026280623608017,0.9780467210807768,0.7739420935412027,0.8641054332960338,0.894119767387241,0.9861533755619598,0.9787213696942256,0.011581291759465479,6657,78,1015,3475
B,phishing_pot,"SVM (TF-IDF, linear)",0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,phishing_pot,Lexical only (TF-IDF + LR),0.9563474387527839,0.9716981132075472,0.9175946547884187,0.9438717067583047,0.9540787105220094,0.9923725080728766,0.985620065637067,0.017817371937639197,6615,120,370,4120
B,phishing_pot,Structural + lexical (LR),0.9616926503340757,0.9738562091503268,0.9291759465478842,0.9509915659904262,0.9597748119510481,0.9925207712263331,0.9900917448234154,0.016629547141796586,6623,112,318,4172
B,phishing_pot,"CNN (word-embedding, from scratch)",0.9385300668151447,0.9733432984554061,0.8701559020044544,0.9188617121354656,0.934692579859501,0.9907280056481201,0.9862978990329614,0.01588715664439495,6628,107,583,3907
B,phishing_pot,DistilBERT (text-only),0.9532293986636972,0.9881802511696627,0.8937639198218262,0.9386036720851363,0.9504155852331574,0.9959002848861531,0.9936687533438084,0.0071269487750556795,6687,48,477,4013
B,phishing_pot,DistilBERT embeddings + MLP (no structural),0.9530512249443207,0.9855427591276648,0.8957683741648107,0.938513592346284,0.9502712784845477,0.994626779298383,0.9914603277218148,0.008760207869339273,6676,59,468,4022
B,phishing_pot,DistilBERT + Structural (Fusion),0.9579510022271714,0.9878581835842642,0.9060133630289532,0.9451672862453532,0.9555340838104385,0.9946729265562505,0.9920375907862358,0.007423904974016332,6685,50,422,4068
