language,model,n_test,legitimate,phishing,phishing_detection_rate,majority_class_accuracy,evaluable,accuracy,f1
en,DistilBERT (text-only),18757,11180,7577,0.9904975584004223,0.5960441435197527,full metrics,0.9896571946473317,0.9872401999473822
en,DistilBERT + Structural (Fusion),18757,11180,7577,0.9897056882671242,0.5960441435197527,full metrics,0.9906168363810844,0.9884012126005008
de,DistilBERT (text-only),285,12,273,1.0,0.9578947368421052,detection rate only,,
de,DistilBERT + Structural (Fusion),285,12,273,0.9963369963369964,0.9578947368421052,detection rate only,,
pt,DistilBERT (text-only),139,2,137,1.0,0.9856115107913669,detection rate only,,
pt,DistilBERT + Structural (Fusion),139,2,137,1.0,0.9856115107913669,detection rate only,,
ru,DistilBERT (text-only),138,1,137,1.0,0.9927536231884058,detection rate only,,
ru,DistilBERT + Structural (Fusion),138,1,137,1.0,0.9927536231884058,detection rate only,,
other (pooled),DistilBERT (text-only),118,7,111,0.990990990990991,0.940677966101695,detection rate only,,
other (pooled),DistilBERT + Structural (Fusion),118,7,111,0.9819819819819819,0.940677966101695,detection rate only,,
fr,DistilBERT (text-only),95,8,87,1.0,0.9157894736842105,detection rate only,,
fr,DistilBERT + Structural (Fusion),95,8,87,0.9885057471264368,0.9157894736842105,detection rate only,,
ja,DistilBERT (text-only),83,2,81,1.0,0.9759036144578314,detection rate only,,
ja,DistilBERT + Structural (Fusion),83,2,81,1.0,0.9759036144578314,detection rate only,,
es,DistilBERT (text-only),79,3,76,1.0,0.9620253164556962,detection rate only,,
es,DistilBERT + Structural (Fusion),79,3,76,1.0,0.9620253164556962,detection rate only,,
zh,DistilBERT (text-only),74,1,73,0.9863013698630136,0.9864864864864865,detection rate only,,
zh,DistilBERT + Structural (Fusion),74,1,73,0.9863013698630136,0.9864864864864865,detection rate only,,
nl,DistilBERT (text-only),46,0,46,1.0,1.0,detection rate only,,
nl,DistilBERT + Structural (Fusion),46,0,46,1.0,1.0,detection rate only,,
pl,DistilBERT (text-only),27,0,27,1.0,1.0,detection rate only,,
pl,DistilBERT + Structural (Fusion),27,0,27,1.0,1.0,detection rate only,,
uk,DistilBERT (text-only),23,2,21,1.0,0.9130434782608695,detection rate only,,
uk,DistilBERT + Structural (Fusion),23,2,21,1.0,0.9130434782608695,detection rate only,,
it,DistilBERT (text-only),21,1,20,1.0,0.9523809523809523,detection rate only,,
it,DistilBERT + Structural (Fusion),21,1,20,1.0,0.9523809523809523,detection rate only,,
sl,DistilBERT (text-only),18,0,18,1.0,1.0,detection rate only,,
sl,DistilBERT + Structural (Fusion),18,0,18,1.0,1.0,detection rate only,,
fi,DistilBERT (text-only),16,0,16,1.0,1.0,detection rate only,,
fi,DistilBERT + Structural (Fusion),16,0,16,1.0,1.0,detection rate only,,
fa,DistilBERT (text-only),13,0,13,1.0,1.0,detection rate only,,
fa,DistilBERT + Structural (Fusion),13,0,13,1.0,1.0,detection rate only,,
tr,DistilBERT (text-only),10,0,10,1.0,1.0,detection rate only,,
tr,DistilBERT + Structural (Fusion),10,0,10,1.0,1.0,detection rate only,,
