design,part,source,n,phishing,phishing_pct
A,train,phishing_pot,3233,3233,100.0
A,train,trec5,31134,12130,39.0
A,train,trec6,10017,2034,20.3
A,train,trec7,27405,14003,51.1
A,val,phishing_pot,359,359,100.0
A,val,trec5,3459,1348,39.0
A,val,trec6,1113,226,20.3
A,val,trec7,3045,1556,51.1
A,test,phishing_pot,898,898,100.0
A,test,trec5,8649,3370,39.0
A,test,trec6,2782,565,20.3
A,test,trec7,7613,3890,51.1
B,train,trec5,36036,15164,42.1
B,train,trec6,11330,2537,22.4
B,train,trec7,32267,17508,54.3
B,val,trec5,4006,1684,42.0
B,val,trec6,1310,288,22.0
B,val,trec7,3533,1941,54.9
B,test,phishing_pot,4490,4490,100.0
B,test,trec5,3200,0,0.0
B,test,trec6,1272,0,0.0
B,test,trec7,2263,0,0.0
C1,train,phishing_pot,4041,4041,100.0
C1,train,trec6,12521,2543,20.3
C1,train,trec7,34256,17504,51.1
C1,val,phishing_pot,449,449,100.0
C1,val,trec6,1391,282,20.3
C1,val,trec7,3807,1945,51.1
C1,test,trec5,43242,16848,39.0
C2,train,phishing_pot,4041,4041,100.0
C2,train,trec5,38917,15163,39.0
C2,train,trec7,34257,17504,51.1
C2,val,phishing_pot,449,449,100.0
C2,val,trec5,4325,1685,39.0
C2,val,trec7,3806,1945,51.1
C2,test,trec6,13912,2825,20.3
C3,train,phishing_pot,4041,4041,100.0
C3,train,trec5,38917,15163,39.0
C3,train,trec6,12521,2543,20.3
C3,val,phishing_pot,449,449,100.0
C3,val,trec5,4325,1685,39.0
C3,val,trec6,1391,282,20.3
C3,test,trec7,38063,19449,51.1
