split,model,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,Structural only (RF),0.9450406177915956,0.9454502978623992,0.9278917803507968,0.936588752603564,0.9440465886911624,0.9859088598215284,0.9847025130312193,0.0416258133523486,10752,467,629,8094
A,Lexical only (TF-IDF + LR),0.984404773844148,0.9799178457325424,0.9845236730482632,0.9822153599817008,0.9841647858532426,0.9982473518147048,0.99780470576875,0.0156876726981014,11043,176,135,8588
A,Structural + lexical (LR),0.9869120449302978,0.9823301413588692,0.987848217356414,0.9850814518433838,0.98671197072941,0.998623284223386,0.9980607357090276,0.0138158481148052,11064,155,106,8617
B,Structural only (RF),0.934521158129176,0.9385657556645643,0.8948775055679288,0.9162011173184358,0.9312345596826844,0.9735498666507938,0.948290432686428,0.0390497401633259,6472,263,472,4018
B,Lexical only (TF-IDF + LR),0.9517149220489978,0.9763513513513512,0.9011135857461025,0.937224924716238,0.9489975231571924,0.9923739465578048,0.98619758908027,0.014550853749072,6637,98,444,4046
B,Structural + lexical (LR),0.9285523385300668,0.9774728120145004,0.8407572383073497,0.9039750957854408,0.9235437970060698,0.9834029262420986,0.9769344343077156,0.0129175946547884,6648,87,715,3775
A,DistilBERT (text-only),0.9908735332464146,0.9902422224773276,0.9888799724865298,0.989560628656648,0.990726862212511,0.9993220494821264,0.9991679181823676,0.0075764328371512,11134,85,97,8626
B,DistilBERT (text-only),0.9543875278396436,0.9901429275505176,0.8948775055679288,0.9401029480580252,0.9516368574270848,0.995775136697404,0.9940295801343738,0.005939123979213,6695,40,472,4018
A,DistilBERT + Structural (Fusion),0.9908233878246916,0.987220447284345,0.9918605984179756,0.9895350832046664,0.9906821730261846,0.9978206291902756,0.9962115518628962,0.0099830644442463,11107,112,71,8652
B,DistilBERT + Structural (Fusion),0.9640089086859688,0.988755980861244,0.9204899777282852,0.9534025374855823,0.9620423427631104,0.9916755373237236,0.9893589530467788,0.0069784706755753,6688,47,357,4133
A,Naive Bayes (TF-IDF),0.9643466051549493,0.9844014510278114,0.9332798349191792,0.9581592420408404,0.9635495000121637,0.9942590860150211,0.9931225723141079,0.01149835101167662,11090,129,582,8141
A,"SVM (TF-IDF, linear)",0.9742252532343797,0.9949354877607621,0.9458901753983722,0.9697931358721203,0.9736581561816435,0.9985392691034027,0.9980010924649115,0.003743649166592388,11177,42,472,8251
B,Naive Bayes (TF-IDF),0.901380846325167,0.9795860504678197,0.7694877505567929,0.8619184233503805,0.8926095962106299,0.9863101869534376,0.9790592074356473,0.010690423162583519,6663,72,1035,3455
B,"SVM (TF-IDF, linear)",0.957238307349666,0.9231743351625158,0.9741648106904232,0.9479843953185956,0.9558406320867672,0.9911695874524432,0.9845196381515942,0.0540460282108389,6371,364,116,4374
A,"CNN (word-embedding, from scratch)",0.9808945943235383,0.9761415525114155,0.9802820130688983,0.9782074014757193,0.9805996160987811,0.998231426545367,0.9977075205110707,0.018629111328995453,11010,209,172,8551
B,"CNN (word-embedding, from scratch)",0.9569710467706013,0.9666899604006522,0.9242761692650334,0.9450074006603666,0.9548333996058107,0.9930163375512355,0.9894464460549752,0.02123236822568671,6592,143,340,4150
