split,model,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,Structural only (RF),0.9450406177915956,0.9454502978623992,0.9278917803507968,0.936588752603564,0.9440465886911625,0.9859088598215284,0.9847025130312193,0.041625813352348696,10752,467,629,8094
A,Lexical only (TF-IDF + LR),0.984404773844148,0.9799178457325423,0.9845236730482632,0.9822153599817007,0.9841647858532426,0.9982473518147047,0.99780470576875,0.015687672698101434,11043,176,135,8588
A,Structural + lexical (LR),0.9869120449302978,0.9823301413588691,0.987848217356414,0.9850814518433838,0.98671197072941,0.9986232842233859,0.9980607357090275,0.01381584811480524,11064,155,106,8617
B,Structural only (RF),0.9345211581291759,0.9385657556645643,0.8948775055679288,0.9162011173184358,0.9312345596826845,0.9735498666507938,0.9482904326864281,0.03904974016332591,6472,263,472,4018
B,Lexical only (TF-IDF + LR),0.9517149220489978,0.9763513513513513,0.9011135857461025,0.9372249247162381,0.9489975231571925,0.9923739465578049,0.9861975890802699,0.014550853749072012,6637,98,444,4046
B,Structural + lexical (LR),0.9285523385300668,0.9774728120145003,0.8407572383073497,0.9039750957854407,0.9235437970060698,0.9834029262420986,0.9769344343077155,0.012917594654788419,6648,87,715,3775
C1,Structural only (RF),0.8591878266500161,0.8565179932401087,0.7670940170940171,0.8093433948085292,0.848857445474736,0.9075946372258192,0.8910826452804325,0.08202621807986664,24229,2165,3924,12924
C1,Lexical only (TF-IDF + LR),0.8397853938300727,0.7194690265486726,0.9650997150997151,0.8243763942405191,0.8385424789469456,0.9672913610128665,0.9554487321357085,0.24020610744866258,20054,6340,588,16260
C1,Structural + lexical (LR),0.9014846676841959,0.8273010920436817,0.9442663817663818,0.8819225012472975,0.8987043764420037,0.9714593065591397,0.9611554809688837,0.1258240509206638,23073,3321,939,15909
C2,Structural only (RF),0.8630678550891316,0.617526826775677,0.855575221238938,0.717317109363407,0.8134842601595313,0.9249482970967352,0.8336488064459056,0.13502299990980426,9590,1497,408,2417
C2,Lexical only (TF-IDF + LR),0.9221535365152387,0.7396807925151349,0.9515044247787611,0.8323269856014863,0.8908183020682368,0.9829039351676323,0.9563954914080223,0.08532515558762514,10141,946,137,2688
C2,Structural + lexical (LR),0.9468085106382979,0.8232558139534883,0.9398230088495575,0.8776859504132232,0.9218502315674089,0.9866853550079779,0.9616112028726019,0.051411563091909446,10517,570,170,2655
C3,Structural only (RF),0.7397472611197226,0.7446546685125366,0.7467221965139595,0.7456869993838571,0.7396052148692029,0.7944472809991775,0.8304870635005766,0.26754056086816375,13634,4980,4926,14523
C3,Lexical only (TF-IDF + LR),0.8964611302314583,0.9073762740359357,0.8880148079592781,0.897591144141569,0.8964485221544654,0.9661915380862676,0.9671644466065032,0.0947136563876652,16851,1763,2178,17271
C3,Structural + lexical (LR),0.890103249875207,0.8686727202472952,0.9247262070029307,0.895823475207332,0.8897709097605615,0.9606303826208763,0.9632150252825835,0.14607284839368218,15895,2719,1464,17985
