,phishing,legitimate,total,phish_share
com,21775.0,8780.0,30555.0,0.7126493208967436
org,5110.0,12720.0,17830.0,0.2865956253505328
net,4277.0,1743.0,6020.0,0.7104651162790697
ch,16.0,5613.0,5629.0,0.0028424231657488007
hk,5044.0,17.0,5061.0,0.9966409800434697
info,2388.0,35.0,2423.0,0.9855550969872059
edu,45.0,1885.0,1930.0,0.023316062176165803
ca,37.0,1529.0,1566.0,0.02362707535121328
uk,331.0,1008.0,1339.0,0.24719940253920836
kr,926.0,10.0,936.0,0.9893162393162394
biz,908.0,0.0,908.0,1.0
de,228.0,345.0,573.0,0.39790575916230364
st,526.0,0.0,526.0,1.0
gov,14.0,364.0,378.0,0.037037037037037035
co,368.0,3.0,371.0,0.9919137466307277
us,215.0,72.0,287.0,0.7491289198606271
