token,z,n_phish,n_legit,n_total
name,-170.74586167429516,66365,186110,252475
the,-148.44881140127717,240375,450780,691155
date,-139.34553704775263,20193,79002,99195
file,-108.33093821001948,4464,32873,37337
reference_number,-101.56293408724669,17534,55278,72812
file_name,-90.92001845365643,1184,23258,24442
email_address,-86.46076202357804,5916,26822,32738
list,-85.82447994593569,4276,23347,27623
time,-84.97032692261219,14478,42880,57358
phone_number,-83.22519428357569,5327,24547,29874
use,-78.13375690837815,5091,22433,27524
code,-77.34297272020905,1901,16241,18142
organization,-77.11326923094195,98370,174569,272939
thanks,-74.68167169058013,4958,21112,26070
that,-74.35085886422165,45677,91435,137112
data,-73.35437194409793,1716,14619,16335
would,-72.90091872900308,8101,26750,34851
file_path,-68.65216546354537,712,13098,13810
mailing,-66.92321693673887,931,11901,12832
read,-62.450088950969274,2538,12913,15451
any,-61.61832500668766,12334,31129,43463
self,-60.15478112237935,755,9616,10371
please,-58.50969687103921,15305,35323,50628
wrote,-57.94884234260947,227,14323,14550
have,-56.56374821855493,31985,61830,93815
problem,-54.93055880636167,1222,8594,9816
guide,-54.785265101294335,479,8246,8725
error,-53.99063190745935,700,7733,8433
using,-52.91126241774195,3008,11642,14650
meeting,-52.026692265869926,756,7243,7999
mail,-50.675187647123145,8032,20517,28549
version,-50.639267875345176,1127,7458,8585
provide,-50.6045110254189,2563,10275,12838
contained,-50.56780311470832,252,8373,8625
attached,-49.83278522514445,893,6893,7786
function,-49.486704692879705,448,6583,7031
intended,-49.200204225272465,359,6762,7121
think,-48.36677615139282,2386,9476,11862
anyone,-48.330021895289796,708,6307,7015
test,-48.05452477591398,827,6405,7232
board,-47.35167697801912,708,6088,6796
message,-46.47370915127856,4723,13581,18304
should,-46.254100972877964,5193,14399,19592
does,-45.67488688632927,2806,9788,12594
let,-45.50230921529481,2776,9697,12473
return,-45.362566108717054,842,5877,6719
work,-45.230385202894944,3748,11509,15257
fax,-45.20994124804235,1413,6936,8349
recipient,-44.92353025414236,265,5839,6104
questions,-44.725924339550005,1610,7243,8853
there,-44.58509737191069,9593,21726,31319
phone,-44.4957608276549,6435,16252,22687
files,-44.050324944879236,653,5322,5975
know,-43.9017711778595,7921,18710,26631
but,-43.72367366725983,16472,32783,49255
contract,-43.33384474717773,788,5397,6185
not,-41.869100748239134,28350,50679,79029
run,-41.8106018408465,977,5476,6453
group,-41.73487817084197,962,5434,6396
agreement,-41.278733187066074,652,4792,5444
