token,z,n_phish,n_legit,n_total
financial_info,247.77052928372478,132655,46651,179306
emoji,175.74056141812156,62462,2832,65294
your,168.00458899411225,85318,41277,126595
symbol,167.81928744247182,65920,25139,91059
per,123.42133358344742,24720,3067,27787
our,118.52225514112207,39363,17786,57149
price,106.45272371680527,18848,3482,22330
save,104.49616158056364,18814,1496,20310
email_separator,94.54475336671204,15245,3159,18404
item,88.95399028267892,13569,2868,16437
now,80.35090326495632,20475,10158,30633
you,78.66201763330491,117728,111899,229627
products,73.20381941922015,8883,1594,10477
quality,71.2855474339505,8677,725,9402
money,69.98608149719595,8278,1644,9922
here,68.97071926128041,21923,13576,35499
life,66.21748796918386,7450,1513,8963
pills,65.11022653286926,24941,144,25085
prices,63.762854443217265,6991,1487,8478
retail,62.82817447500953,6773,553,7326
his,62.16922775230195,12368,6168,18536
account,61.72870060875054,7637,2326,9963
more,61.49045426716778,23448,16510,39958
only,56.63468230969169,17735,11921,29656
online,55.67127254703847,6765,2337,9102
buy,53.16541112693278,5505,1594,7099
yourself,52.848282460433765,4549,552,5101
software,52.487683030348684,7330,3146,10476
product,52.45306539311713,130152,140174,270326
her,51.99979528268124,7282,3160,10442
simbol,51.74925072984282,59635,47,59682
offers,51.401814309215595,4308,661,4969
great,51.30638496718301,7021,3020,10041
weight,50.81893290687338,4378,381,4759
drugs,50.593255652386475,4161,599,4760
company,50.44562255063787,7683,3667,11350
best,50.12070540846732,9535,5311,14846
she,49.334548909091744,7257,3430,10687
stop,48.63756669103773,4854,1534,6388
target,48.214054883524575,4064,913,4977
men,47.42095445931946,3654,516,4170
professional,47.12372436831031,3749,334,4083
world,46.99995343364316,6425,2977,9402
low,45.99614140848522,7491,3997,11488
special,45.472641249354396,5169,2088,7257
para,45.38621809568681,3475,311,3786
que,45.33520405415359,5079,143,5222
bank,44.505630250361406,3302,610,3912
god,44.155254164865866,3169,452,3621
health,43.91859718019164,4556,1732,6288
including,43.65873137364073,5807,2790,8597
wish,43.00280403591654,4113,1455,5568
offer,42.90166900057163,6020,3046,9066
yours,42.787277853110204,2984,454,3438
popular,42.422879754902695,2968,311,3279
many,42.351491946756965,7791,4675,12466
generic,42.1876283329102,3040,629,3669
claim,41.47273853596464,2993,662,3655
broker,41.40721252850211,2821,302,3123
shipping,41.18102285662871,2850,261,3111
