design,seed,epoch,lr_end,train_loss,train_f1,val_loss,val_f1,val_acc,seconds
A,42,1,0.0,0.1725,0.9243,0.0605,0.9799,0.9823,470.8411
A,42,2,0.0,0.0495,0.9832,0.0466,0.982,0.9841,492.44
A,42,3,0.0,0.0228,0.993,0.0484,0.9855,0.9873,482.1173
A,42,4,0.0,0.0118,0.9966,0.0642,0.9869,0.9886,483.724
A,42,5,0.0,0.0053,0.9986,0.1032,0.9838,0.986,477.2089
A,42,6,0.0,0.0049,0.9986,0.0669,0.988,0.9895,475.9823
A,42,7,0.0,0.0029,0.9993,0.0854,0.9859,0.9877,473.5453
A,42,8,0.0,0.0015,0.9996,0.0958,0.9863,0.9881,463.9683
A,42,9,0.0,0.0009,0.9998,0.096,0.9872,0.9888,471.471
B,42,1,0.0,0.1621,0.9305,0.0562,0.9779,0.9802,550.7825
B,42,2,0.0,0.0469,0.9844,0.0435,0.9861,0.9876,545.4862
B,42,3,0.0,0.0223,0.993,0.0521,0.9874,0.9889,541.9103
B,42,4,0.0,0.0103,0.9969,0.0506,0.9853,0.9869,538.4126
B,42,5,0.0,0.0065,0.9983,0.0614,0.9861,0.9878,531.8589
B,42,6,0.0,0.0035,0.9991,0.0879,0.9851,0.9867,532.8634
