design,model,seed,single_run,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,DistilBERT embeddings + MLP (no structural),42,False,0.9904,0.9873,0.9907,0.989,0.9902,0.9972,0.9949,0.0099,11108,111,81,8642
A,DistilBERT embeddings + MLP (no structural),43,False,0.99,0.986,0.9913,0.9886,0.9899,0.9967,0.9932,0.011,11096,123,76,8647
A,DistilBERT embeddings + MLP (no structural),44,False,0.9905,0.9875,0.9907,0.9891,0.9903,0.9983,0.9973,0.0097,11110,109,81,8642
A,DistilBERT embeddings + MLP (no structural),45,False,0.9903,0.987,0.9909,0.989,0.9902,0.998,0.9967,0.0102,11105,114,79,8644
A,DistilBERT embeddings + MLP (no structural),46,False,0.9904,0.9875,0.9906,0.9891,0.9903,0.9976,0.9956,0.0097,11110,109,82,8641
A,DistilBERT + Structural (Fusion),42,False,0.9906,0.988,0.9905,0.9892,0.9904,0.9973,0.9944,0.0094,11114,105,83,8640
A,DistilBERT + Structural (Fusion),43,False,0.9907,0.9896,0.9891,0.9893,0.9905,0.9985,0.998,0.0081,11128,91,95,8628
A,DistilBERT + Structural (Fusion),44,False,0.9908,0.9893,0.9896,0.9895,0.9906,0.9984,0.9975,0.0083,11126,93,91,8632
A,DistilBERT + Structural (Fusion),45,False,0.9909,0.9895,0.9897,0.9896,0.9907,0.9974,0.9948,0.0082,11127,92,90,8633
A,DistilBERT + Structural (Fusion),46,False,0.9909,0.9895,0.9897,0.9896,0.9907,0.9983,0.9975,0.0082,11127,92,90,8633
A,Structural only (RF),42,False,0.9359,0.9392,0.9124,0.9256,0.9346,0.9803,0.9794,0.0459,10704,515,764,7959
A,Structural only (RF),43,False,0.9366,0.941,0.9123,0.9264,0.9354,0.9802,0.9792,0.0445,10720,499,765,7958
A,Structural only (RF),44,False,0.9362,0.9393,0.9132,0.9261,0.935,0.9803,0.9793,0.0459,10704,515,757,7966
A,Structural only (RF),45,False,0.9359,0.9393,0.9123,0.9256,0.9346,0.9803,0.9793,0.0458,10705,514,765,7958
A,Structural only (RF),46,False,0.9369,0.9409,0.9131,0.9268,0.9357,0.9803,0.9794,0.0446,10719,500,758,7965
A,"SVM (TF-IDF, linear)",42,False,0.9875,0.9828,0.9887,0.9857,0.9873,0.9986,0.9979,0.0135,11068,151,99,8624
A,"SVM (TF-IDF, linear)",43,False,0.9875,0.9828,0.9887,0.9857,0.9873,0.9986,0.9979,0.0135,11068,151,99,8624
A,"SVM (TF-IDF, linear)",44,False,0.9875,0.9828,0.9887,0.9857,0.9873,0.9986,0.9979,0.0135,11068,151,99,8624
A,"SVM (TF-IDF, linear)",45,False,0.9875,0.9828,0.9887,0.9857,0.9873,0.9986,0.9979,0.0135,11068,151,99,8624
A,"SVM (TF-IDF, linear)",46,False,0.9875,0.9828,0.9887,0.9857,0.9873,0.9986,0.9979,0.0135,11068,151,99,8624
A,Naive Bayes (TF-IDF),42,True,0.9669,0.9831,0.9404,0.9613,0.9662,0.9946,0.9934,0.0126,11078,141,520,8203
A,Naive Bayes (TF-IDF),43,True,0.9669,0.9831,0.9404,0.9613,0.9662,0.9946,0.9934,0.0126,11078,141,520,8203
A,Naive Bayes (TF-IDF),44,True,0.9669,0.9831,0.9404,0.9613,0.9662,0.9946,0.9934,0.0126,11078,141,520,8203
A,Naive Bayes (TF-IDF),45,True,0.9669,0.9831,0.9404,0.9613,0.9662,0.9946,0.9934,0.0126,11078,141,520,8203
A,Naive Bayes (TF-IDF),46,True,0.9669,0.9831,0.9404,0.9613,0.9662,0.9946,0.9934,0.0126,11078,141,520,8203
A,Lexical only (TF-IDF + LR),42,True,0.9822,0.9768,0.9827,0.9797,0.9819,0.9978,0.9972,0.0182,11015,204,151,8572
A,Lexical only (TF-IDF + LR),43,True,0.9822,0.9768,0.9827,0.9797,0.9819,0.9978,0.9972,0.0182,11015,204,151,8572
A,Lexical only (TF-IDF + LR),44,True,0.9822,0.9768,0.9827,0.9797,0.9819,0.9978,0.9972,0.0182,11015,204,151,8572
A,Lexical only (TF-IDF + LR),45,True,0.9822,0.9768,0.9827,0.9797,0.9819,0.9978,0.9972,0.0182,11015,204,151,8572
A,Lexical only (TF-IDF + LR),46,True,0.9822,0.9768,0.9827,0.9797,0.9819,0.9978,0.9972,0.0182,11015,204,151,8572
A,Structural + lexical (LR),42,True,0.9827,0.9775,0.983,0.9803,0.9824,0.998,0.9972,0.0176,11022,197,148,8575
A,Structural + lexical (LR),43,True,0.9827,0.9775,0.983,0.9803,0.9824,0.998,0.9972,0.0176,11022,197,148,8575
A,Structural + lexical (LR),44,True,0.9827,0.9775,0.983,0.9803,0.9824,0.998,0.9972,0.0176,11022,197,148,8575
A,Structural + lexical (LR),45,True,0.9827,0.9775,0.983,0.9803,0.9824,0.998,0.9972,0.0176,11022,197,148,8575
A,Structural + lexical (LR),46,True,0.9827,0.9775,0.983,0.9803,0.9824,0.998,0.9972,0.0176,11022,197,148,8575
A,"CNN (word-embedding, from scratch)",42,True,0.9796,0.9832,0.9701,0.9766,0.9793,0.9982,0.9978,0.0129,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",43,True,0.9796,0.9832,0.9701,0.9766,0.9793,0.9982,0.9978,0.0129,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",44,True,0.9796,0.9832,0.9701,0.9766,0.9793,0.9982,0.9978,0.0129,11074,145,261,8462
