model,design,42,43,44,45,46,mean,sd
Structural only (RF),A,0.9256,0.9264,0.9261,0.9256,0.9268,0.9261,0.0005
Structural only (RF),B,0.9195,0.9191,0.919,0.9172,0.9194,0.9188,0.0009
Naive Bayes (TF-IDF),A,0.9613,0.9613,0.9613,0.9613,0.9613,0.9613,0.0
Naive Bayes (TF-IDF),B,0.8641,0.8641,0.8641,0.8641,0.8641,0.8641,0.0
"SVM (TF-IDF, linear)",A,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.0
"SVM (TF-IDF, linear)",B,0.9188,0.9188,0.9188,0.9188,0.9188,0.9188,0.0
Lexical only (TF-IDF + LR),A,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,0.0
Lexical only (TF-IDF + LR),B,0.9439,0.9439,0.9439,0.9439,0.9439,0.9439,0.0
Structural + lexical (LR),A,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.0
Structural + lexical (LR),B,0.951,0.951,0.951,0.951,0.951,0.951,0.0
"CNN (word-embedding, from scratch)",A,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.0
"CNN (word-embedding, from scratch)",B,0.9189,0.9189,0.9189,0.9189,0.9189,0.9189,0.0
DistilBERT (text-only),A,0.9884,0.9884,0.9884,0.9884,0.9884,0.9884,0.0
DistilBERT (text-only),B,0.9386,0.9386,0.9386,0.9386,0.9386,0.9386,0.0
DistilBERT embeddings + MLP (no structural),A,0.989,0.9886,0.9891,0.989,0.9891,0.989,0.0002
DistilBERT embeddings + MLP (no structural),B,0.9385,0.9535,0.9346,0.9411,0.9404,0.9416,0.0071
DistilBERT + Structural (Fusion),A,0.9892,0.9893,0.9895,0.9896,0.9896,0.9894,0.0001
DistilBERT + Structural (Fusion),B,0.9452,0.9594,0.9531,0.9577,0.95,0.9531,0.0058
