language,n,phishing_pct,legitimate,unk_rate_pct,wordpieces_per_word,truncated_at_max_len_pct
en,93905,40.5,55902,0.01,1.79,44.0
de,1333,97.3,36,0.26,2.84,55.4
ru,770,99.4,5,0.47,16.4,54.3
pt,697,98.1,13,0.12,2.44,56.1
ja,464,97.6,11,0.15,21.38,60.8
fr,410,90.0,41,0.22,2.63,43.9
es,401,93.3,27,0.06,3.18,44.6
zh,339,98.8,4,0.14,24.23,56.6
nl,255,99.2,2,0.31,2.74,55.3
pl,128,96.9,4,0.02,4.14,35.9
uk,97,96.9,3,1.73,14.18,75.3
it,89,89.9,9,0.03,2.39,27.0
sl,76,100.0,0,0.02,5.26,34.2
fi,70,100.0,0,0.01,8.1,17.1
tr,58,96.6,2,0.03,2.6,6.9
fa,50,100.0,0,0.0,10.68,10.0
