language,model,n_test,legitimate,phishing,phishing_detection_rate,majority_class_accuracy,evaluable,accuracy,f1
en,DistilBERT (text-only),18757,11180,7577,0.9905,0.596,full metrics,0.9897,0.9872
en,DistilBERT + Structural (Fusion),18757,11180,7577,0.9897,0.596,full metrics,0.9906,0.9884
de,DistilBERT (text-only),285,12,273,1.0,0.9579,detection rate only,,
de,DistilBERT + Structural (Fusion),285,12,273,0.9963,0.9579,detection rate only,,
pt,DistilBERT (text-only),139,2,137,1.0,0.9856,detection rate only,,
pt,DistilBERT + Structural (Fusion),139,2,137,1.0,0.9856,detection rate only,,
ru,DistilBERT (text-only),138,1,137,1.0,0.9928,detection rate only,,
ru,DistilBERT + Structural (Fusion),138,1,137,1.0,0.9928,detection rate only,,
other (pooled),DistilBERT (text-only),118,7,111,0.991,0.9407,detection rate only,,
other (pooled),DistilBERT + Structural (Fusion),118,7,111,0.982,0.9407,detection rate only,,
fr,DistilBERT (text-only),95,8,87,1.0,0.9158,detection rate only,,
fr,DistilBERT + Structural (Fusion),95,8,87,0.9885,0.9158,detection rate only,,
ja,DistilBERT (text-only),83,2,81,1.0,0.9759,detection rate only,,
ja,DistilBERT + Structural (Fusion),83,2,81,1.0,0.9759,detection rate only,,
es,DistilBERT (text-only),79,3,76,1.0,0.962,detection rate only,,
es,DistilBERT + Structural (Fusion),79,3,76,1.0,0.962,detection rate only,,
zh,DistilBERT (text-only),74,1,73,0.9863,0.9865,detection rate only,,
zh,DistilBERT + Structural (Fusion),74,1,73,0.9863,0.9865,detection rate only,,
nl,DistilBERT (text-only),46,0,46,1.0,1.0,detection rate only,,
nl,DistilBERT + Structural (Fusion),46,0,46,1.0,1.0,detection rate only,,
pl,DistilBERT (text-only),27,0,27,1.0,1.0,detection rate only,,
pl,DistilBERT + Structural (Fusion),27,0,27,1.0,1.0,detection rate only,,
uk,DistilBERT (text-only),23,2,21,1.0,0.913,detection rate only,,
uk,DistilBERT + Structural (Fusion),23,2,21,1.0,0.913,detection rate only,,
it,DistilBERT (text-only),21,1,20,1.0,0.9524,detection rate only,,
it,DistilBERT + Structural (Fusion),21,1,20,1.0,0.9524,detection rate only,,
sl,DistilBERT (text-only),18,0,18,1.0,1.0,detection rate only,,
sl,DistilBERT + Structural (Fusion),18,0,18,1.0,1.0,detection rate only,,
fi,DistilBERT (text-only),16,0,16,1.0,1.0,detection rate only,,
fi,DistilBERT + Structural (Fusion),16,0,16,1.0,1.0,detection rate only,,
fa,DistilBERT (text-only),13,0,13,1.0,1.0,detection rate only,,
fa,DistilBERT + Structural (Fusion),13,0,13,1.0,1.0,detection rate only,,
tr,DistilBERT (text-only),10,0,10,1.0,1.0,detection rate only,,
tr,DistilBERT + Structural (Fusion),10,0,10,1.0,1.0,detection rate only,,
