split,model,accuracy,precision,recall,f1,macro_f1,auc,fpr,TN,FP,FN,TP
A,Structural only (RF),0.945,0.9455,0.9279,0.9366,0.944,0.9859,0.0416,10752,467,629,8094
A,Lexical only (TF-IDF + LR),0.9844,0.9799,0.9845,0.9822,0.9842,0.9982,0.0157,11043,176,135,8588
A,Structural + lexical (LR),0.9869,0.9823,0.9878,0.9851,0.9867,0.9986,0.0138,11064,155,106,8617
B,Structural only (RF),0.9345,0.9386,0.8949,0.9162,0.9312,0.9735,0.039,6472,263,472,4018
B,Lexical only (TF-IDF + LR),0.9517,0.9764,0.9011,0.9372,0.949,0.9924,0.0146,6637,98,444,4046
B,Structural + lexical (LR),0.9286,0.9775,0.8408,0.904,0.9235,0.9834,0.0129,6648,87,715,3775
C1,Structural only (RF),0.8592,0.8565,0.7671,0.8093,0.8489,0.9076,0.082,24229,2165,3924,12924
C1,Lexical only (TF-IDF + LR),0.8398,0.7195,0.9651,0.8244,0.8385,0.9673,0.2402,20054,6340,588,16260
C1,Structural + lexical (LR),0.9015,0.8273,0.9443,0.8819,0.8987,0.9715,0.1258,23073,3321,939,15909
C2,Structural only (RF),0.8631,0.6175,0.8556,0.7173,0.8135,0.9249,0.135,9590,1497,408,2417
C2,Lexical only (TF-IDF + LR),0.9222,0.7397,0.9515,0.8323,0.8908,0.9829,0.0853,10141,946,137,2688
C2,Structural + lexical (LR),0.9468,0.8233,0.9398,0.8777,0.9219,0.9867,0.0514,10517,570,170,2655
C3,Structural only (RF),0.7397,0.7447,0.7467,0.7457,0.7396,0.7944,0.2675,13634,4980,4926,14523
C3,Lexical only (TF-IDF + LR),0.8965,0.9074,0.888,0.8976,0.8964,0.9662,0.0947,16851,1763,2178,17271
C3,Structural + lexical (LR),0.8901,0.8687,0.9247,0.8958,0.8898,0.9606,0.1461,15895,2719,1464,17985
