feature,psi,mean_trec,mean_pot,severity
url_length_max,1.7496,38.8413,120.036,major
url_length_avg,1.3726,33.7739,78.2286,major
url_distinct_domains,0.863,1.2412,2.296,major
digit_count,0.7951,9.2317,21.9657,major
url_count,0.6965,3.9064,6.8501,major
subject_length,0.5291,50.7304,58.3227,major
uppercase_ratio,0.4906,0.1806,0.1119,major
subject_upper_ratio,0.488,0.2914,0.2468,major
cue_total,0.1937,0.746,1.2323,moderate
url_subdom_avg,0.1866,0.7636,0.7128,moderate
body_length,0.1475,1139.5833,1084.3635,moderate
url_subdom_max,0.097,0.8731,1.1247,none
punct_density,0.0349,0.0055,0.0046,none
attachment_count,0.0,0.0017,0.0706,none
html_flag,0.0,0.6963,0.943,none
currency_flag,0.0,0.1192,0.2951,none
url_has_ip,0.0,0.0122,0.063,none
url_shortener,0.0,0.0507,0.204,none
url_punycode,0.0,0.0,0.0,none
url_at_symbol,0.0,0.0,0.0,none
url_https_ratio,0.0,0.0022,0.6032,none
