fold,held_out,feature,psi_phishing,psi_legitimate,max_psi,severity
C1,trec5,url_count,0.1431,1.2283,1.2283,major
C1,trec5,url_length_max,0.5154,1.4102,1.4102,major
C1,trec5,url_length_avg,0.5812,1.2549,1.2549,major
C1,trec5,url_subdom_max,0.3441,1.1756,1.1756,major
C1,trec5,url_subdom_avg,0.3266,1.0637,1.0637,major
C1,trec5,uppercase_ratio,0.1068,0.1015,0.1068,moderate
C1,trec5,punct_density,0.0909,0.2744,0.2744,major
C1,trec5,digit_count,0.0323,0.4278,0.4278,major
C1,trec5,currency_flag,0.0,0.0,0.0,none
C1,trec5,html_flag,0.0,0.0,0.0,none
C1,trec5,body_length,0.1677,0.3133,0.3133,major
C1,trec5,subject_length,0.1012,0.2801,0.2801,major
C1,trec5,attachment_count,0.0,0.0,0.0,none
C2,trec6,url_count,0.228,0.2189,0.228,moderate
C2,trec6,url_length_max,0.3186,0.2124,0.3186,major
C2,trec6,url_length_avg,0.2951,0.1351,0.2951,major
C2,trec6,url_subdom_max,0.1546,0.0602,0.1546,moderate
C2,trec6,url_subdom_avg,0.0786,0.0524,0.0786,none
C2,trec6,uppercase_ratio,0.0612,0.0647,0.0647,none
C2,trec6,punct_density,0.0346,0.0362,0.0362,none
C2,trec6,digit_count,0.0566,0.0686,0.0686,none
C2,trec6,currency_flag,0.0,0.0,0.0,none
C2,trec6,html_flag,0.0,0.0,0.0,none
C2,trec6,body_length,0.064,0.0151,0.064,none
C2,trec6,subject_length,0.2505,0.198,0.2505,major
C2,trec6,attachment_count,0.0,0.0,0.0,none
C3,trec7,url_count,0.3242,2.0215,2.0215,major
C3,trec7,url_length_max,0.7822,1.7687,1.7687,major
C3,trec7,url_length_avg,0.6901,1.4763,1.4763,major
C3,trec7,url_subdom_max,0.7435,1.9404,1.9404,major
C3,trec7,url_subdom_avg,0.5041,1.5711,1.5711,major
C3,trec7,uppercase_ratio,0.0748,0.1867,0.1867,moderate
C3,trec7,punct_density,0.0808,0.2377,0.2377,moderate
C3,trec7,digit_count,0.0738,0.3419,0.3419,major
C3,trec7,currency_flag,0.0,0.0,0.0,none
C3,trec7,html_flag,0.0,0.0,0.0,none
C3,trec7,body_length,0.2567,0.506,0.506,major
C3,trec7,subject_length,0.3055,0.8042,0.8042,major
C3,trec7,attachment_count,0.0,0.0,0.0,none
